Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Belarus,BLR,2005,86.037895,Belarus,9935166,93764,464692,1528120,3129992,6908069,8406748,7942635,92632,370928,466672,596756,796985,1545905,1365977,1579983,1241681,877825,754513,220869,23010,298,8.66E-06,5
Belgium,BEL,2005,389.98645,Belgium,10516979,118575,583769,1804752,3077091,6906524,8711035,8332472,116472,465194,591964,629019,627045,1312301,1490058,1598545,1376592,993168,856890,392378,64058,1192,3.71E-05,4
Brazil,BRA,2005,1101.6764,Brazil,186797340,3183057,16223080,50686616,86268740,124649420,136109920,125518610,3179152,13040023,17225014,17238520,17766190,34103536,28017132,23433088,15870890,9801165,5419828,1589613,108483,801,5.90E-06,2
Bulgaria,BGR,2005,59.339947,Bulgaria,7815221,72218,349523,1073762,2135107,5363301,6741190,6432373,69559,277305,324728,399511,522173,1116077,1089719,1078983,1111190,854710,679753,260726,27859,269,7.59E-06,5
Canada,CAN,2005,1245.6702,Canada,32215914,340318,1712322,5698677,10108666,22330848,26513284,25206412,342006,1372004,1864722,2121633,2177050,4386057,4538258,5369762,4326449,2732136,1908258,917454,157859,3953,3.87E-05,4
Chile,CHL,2005,155.2119,Chile,16175315,228221,1177234,3887557,6604417,10850217,12287680,11431634,230783,949013,1290159,1420164,1406086,2579662,2484979,2206793,1615912,1016499,700832,252992,23925,78,9.60E-06,5
China,CHN,2005,3838.487,China,1304887600,16265880,80275800,264222620,495020580,938552060,1040657100,964602050,15961138,64009920,83451020,100495810,124467580,201447650,243873580,184690400,141432370,79124600,48991230,15384249,1245451,7827,2.94E-06,2
Colombia,COL,2005,140.03333,Colombia,42220944,806447,4123338,12730950,20724726,27347852,29489810,26973468,815962,3316891,4278017,4329595,4139366,7327962,6214343,5268782,3325601,1864018,1004979,320541,24218,183,3.32E-06,2
Croatia,HRV,2005,53.632507,Croatia,4429687,43292,212807,709017,1291462,2957926,3720428,3558586,42099,169515,245546,250664,275646,614188,594181,648832,595986,474837,380345,120104,16309,242,1.21E-05,5
Cyprus,CYP,2005,34.478428,Cyprus,1037070,12297,61079,206429,387098,723788,830599,778564,12187,48782,67356,77994,87971,182649,154853,141860,112246,79091,48816,20065,3048,42,3.32E-05,4
Czechia,CZE,2005,119.157104,Czechia,10280122,99716,470078,1512204,2889399,7323054,8767613,8373243,95503,370362,451571,590555,664497,1595410,1541585,1376579,1553948,1014717,707144,280341,33392,305,1.16E-05,5
Denmark,DNK,2005,103.39927,Denmark,5436314,64810.996,327126,1015649,1623340,3601294,4419980,4229120,65089.996,262315,341655,346868,310817,639821,796674,778808,744660,575556,351617,187678,34349,685,1.90E-05,0
Ecuador,ECU,2005,95.14137,Ecuador,13770015,313668,1558300,4586615,7286232,8454848,9183085,8322799,312185,1244632,1539107,1489208,1414215,2414884,1883576,1423604,985023,589607,329332,124268,18576,315,6.91E-06,5
Egypt,EGY,2005,347.70404,Egypt,79075310,1981978,9578733,27241560,43754150,48413676,51833428,46576708,1941595,7596755,8944033,8718794,8680245,14527190,10540255,7914967,5230382,2760742,1690137,455198,34311,323,4.40E-06,2
Estonia,EST,2005,16.752337,Estonia,1354665,14155,66280,206015,407129,922294,1148562,1086643,13521,52125,61933,77802,102187,194126,187214,193798,175872,143860,108293,37642,5570,88,1.24E-05,5
Finland,FIN,2005,126.678185,Finland,5246070,57611,284323,910712,1563873,3499279,4335007,4141020,57341,226712,296418,329971,319501,664687,660199,759476,809868,528866,384853,180367,27190,351,2.41E-05,0
France,FRA,2005,1109.2781,France,60510080,742510,3727215,11102260,18883490,39377772,49396130,47048736,737383,2984705,3674302,3700743,3913400,7612566,8491911,8495596,8160079,5267784,4675381,2297493,481916,11693,1.83E-05,0
Germany,DEU,2005,1460.0576,Germany,81212170,687857,3591503,11696092,21140640,54091412,69507540,66678176,702822,2903646,3965046,4139543,4683587,9448326,11677804,13248193,10148587,10131194,6652525,2965178,552143,8540,1.80E-05,0
Greece,GRC,2005,249.09126,Greece,11113450,107016,531593,1587459,2983502,7485047,9524293,9168803,105385,424577,530259,525607,617120,1642714,1742082,1588264,1358154,1131589,1007834,374345,62191,1698,2.24E-05,0
Hong Kong,HKG,2005,165.10948,Hong Kong,6936872,44101,244167,1009004,1948044,5065202,5926632,5654755,45676,200066,336744,428093,449805,1001128,1154749,1325272,897469,489017,411958,168493,28741,1236,2.38E-05,0
Hungary,HUN,2005,87.88969,Hungary,10073533,95110,478117,1566593,2878958,6936473,8506539,8134964,94205,383007,497037,591439,630783,1513484,1460870,1325826,1434970,1047888,762583,293083,37052,401,8.72E-06,5
Iceland,ISL,2005,10.089533,Iceland,297037,4298,21071,65510,108995,196710,231489,217737,4252,16773,21475,22964,21837,43132,42013,43117,34545,21358,16392,7866,1229,38,3.40E-05,4
India,IND,2005,1438.144,India,1154638700,26668534,132290380,382384800,606122600,716911600,772241400,701369400,26432680,105621860,127437496,122656904,116844990,201519280,160468220,125178930,85179850,49827060,25406024,7103935,713118,12513,1.25E-06,2
Indonesia,IDN,2005,717.8884,Indonesia,228805150,4571989,22415892,66209610,109118800,149892740,162594980,149824780,4487445,17843904,22260500,21533218,21238344,42161810,36132452,27137524,16756566,11786993,5964983,1326859,89453,555,3.14E-06,2
Iran,IRN,2005,910.1544,Iran,70182590,1102061,5333168,18163924,35745336,48811930,52018530,46792780,1074164,4231107,5352513,7478244,8875698,15495864,9922781,7790643,5160115,2850060,1507792,392256,23320,142,1.30E-05,5
Iraq,IRQ,2005,280.5345,Iraq,28698688,943760,4509032,12206379,17863676,15605017,16492254,14615328,919592,3565272,4075425,3621922,3030479,4926904,3681178,2065683,1423123,836046,406605,113501,8735,55,9.78E-06,5
Ireland,IRL,2005,111.53505,Ireland,4121220,60776,295653,848092,1476966,2821079,3272916,3102129,60556,234877,279836,272603,289554,691149,648225,554999,464243,310942,204314,95977,13513,212,2.71E-05,0
Israel,ISR,2005,136.45406,Israel,6714119,135814,670835,1852211,2960718,4184061,4861229,4526887,137077,535021,619082,562294,555333,1088430,906362,754023,682284,392162,303278,151794,27563,679,2.03E-05,0
Italy,ITA,2005,1039.4667,Italy,58199876,554821,2732739,8219635,14213850,38509364,49972104,48254830,552338,2177918,2681789,2805107,2858381,6959951,9320192,8616666,7530968,6500129,5257182,2446143,482491,8135.9995,1.79E-05,0
Japan,JPN,2005,2995.7354,Japan,127798376,1090534,5618799,17437890,31227136,84028380,110318650,106522230,1099781,4528265,5862399,5956692,6497940,15791367,18495012,15740618,18922076,16081187,12135566,5458782,1196100,41837,2.34E-05,0
Kazakhstan,KAZ,2005,111.753395,Kazakhstan,15656255,278188,1246867,3859167,6894106,10619865,11796993,10821623,260609.98,968679,1179046,1433254,1622830,2663460,2263975,2194499,1469094,941063,505698,124707,11667,95,7.14E-06,5
Kuwait,KWT,2005,217.24307,Kuwait,2235409,42154,197842,556367,928528,1641627,1679040,1583110,38761,155688,189416,169109,163480,491036,512708,311978,133490,44422,16711,4764,451,2,9.72E-05,1
Latvia,LVA,2005,20.104658,Latvia,2233165,19824,100377,329924,666724,1515078,1903082,1803934,19966,80553,97231,132316,171183,313729,305630,323978,276379,254894,183563,63961,9765,159,9.00E-06,5
Lithuania,LTU,2005,33.126637,Lithuania,3373536,29660,149932,564369,1061516,2260610,2808773,2652146,29474,120272,181832,232605,263097,451727,475441,505591,389104,348611,268951,91465,14786,394,9.82E-06,5
Lower-middle-income countries,,2005,4498.24,Lower-middle-income countries,2684204500,66573508,322365660,916858560,1449503500,1641256000,1767323400,1598383600,65064936,255792140,302347260,292145660,277990270,476685700,364237120,277592000,183449390,111404220,58405020,16058288,1501428,22521,1.68E-06,2
Luxembourg,LUX,2005,37.356655,Luxembourg,464868,5398,27839,86174,140816,313567,378665,362263,5473,22441,29397,28938,26907,58591,75529,74505,57014,40069,31498,12442,2110,29,8.04E-05,6
Malaysia,MYS,2005,362.19116,Malaysia,25923540,520820,2636409,8117736,13225317,16617015,17805452,16202198,521422.97,2115589,2734946,2746381,2651040,4568306,3707475,3096064,1984680,1085477,518535,174692,19183,352,1.40E-05,5
Mexico,MEX,2005,1226.2463,Mexico,105442400,2277474,11425257,33846944,53971532,65666256,71580584,65168464,2279895,9147783,11202410,11219277,10512476,18447952,15405587,11435403,7343327,4573495,2612108,1031868,218367,14870,1.16E-05,5
Morocco,MAR,2005,109.33424,Morocco,30431898,629947,3098965,9462943,15768689,19540062,20968886,19009892,620504,2469018,3107945,3256033,3258311,5710983,4339615,3411079,2116071,1268837,705387,151442,7162,69,3.59E-06,2
Netherlands,NLD,2005,569.4229,Netherlands,16261834,188958,989337,2976216,4918525,10977432,13284315,12694138,195036,800379,991636,995243,980706,1947978,2458242,2514931,2245385,1515944,1042716,501921,76492,1303,3.50E-05,4
New Zealand,NZL,2005,85.43949,New Zealand,4132782,58133,284840,890458,1485355,2747465,3241946,3054393,56986,226707,292513,313105,306587,544838,601539,619457,492660,329628,222128,107691,17418,378,2.07E-05,0
North Macedonia,MKD,2005,10.69322,North Macedonia,2078667,23105,129312,429152,764446,1429302,1649495,1550781,25095,106207,142436,157404,165859,328547,296347,296845,250371,172425,107604,29071,2426,20,5.14E-06,2
Norway,NOR,2005,117.61478,Norway,4623691,57040,288307,908166,1476759,3035435,3715024,3532700,57593,231267,306559,313300,294117,563545,694638,650222,601586,405480,291436,184344,29656,501,2.54E-05,0
Oman,OMN,2005,47.223904,Oman,2515202,56504,269184,824232,1405640,1628990,1690962,1518112,53749,212680,271083,283965,289867,551601,389823,242165,121035,59770,26539,9232,930,8,1.88E-05,0
Pakistan,PAK,2005,181.89467,Pakistan,174372100,5400739,25848216,71658120,107281340,96528420,102713896,90586240,5225069,20447476,23733976,22075928,19514538,28902904,19847986,15129383,9611977,6106959,2855245,705615,39287,91,1.04E-06,2
Peru,PER,2005,85.74552,Peru,28147260,614260,3006769,8964036,14509175,17516928,19181796,17422580,602245,2392509,2970213,2987054,2894167,5041621,3973269,2909960,2004959,1264468,739837,299520,53995,1428,3.05E-06,2
Philippines,PHL,2005,175.7422,Philippines,86261250,2270288,11001035,31488910,48038764,51324964,54771076,49317560,2222756,8730747,10539263,9948612,8791738,14797767,11638731,8747991,5594584,3126798,1525260,485515,62693,1260,2.04E-06,2
Poland,POL,2005,268.94977,Poland,38575910,366315,1821683,6343183,12557099,27182228,32231102,30539250,357749,1455368,2028695,2492805,2917652,6453837,5174478,5694933,5437955,3055626,2506356,875845,114419,1629,6.97E-06,5
Portugal,PRT,2005,191.1839,Portugal,10523314,108878,554667,1672352,2959001,7016879,8850132,8502451,109752,445789,552868,564817,589121,1499287,1581781,1495051,1303833,1080273,863621,382242,54923,830,1.82E-05,0
Qatar,QAT,2005,43.93612,Qatar,848718,13297,63987,179861,307516,659271,668857,639682,12931,50690,60089,55785,49320,182200,206873,148042,62881,14365,4122,956,98,0,5.18E-05,3
Romania,ROU,2005,123.24321,Romania,21092264,211597,1057943,3368357,6518576,14606834,17723768,16762810,209554,846346,1108037,1202377,1617459,3254057,3346724,2697517,2716253,2043537,1547944,463090,37188,139,5.84E-06,2
Russia,RUS,2005,1493.8191,Russia,143800050,1468934,7000264,21869956,46075468,102092050,121925830,114885350,1467132,5531330,6560019,8309673,12077881,23101778,19766956,23368384,18936966,12469590,9254161,2622832,327283,4264,1.04E-05,5
Saudi Arabia,SAU,2005,1134.0006,Saudi Arabia,24397652,552995,2813600,8279710,12536558,15502285,16117876,14759920,557517,2260605,2867527,2598583,2186761,4718049,4807917,2625282,896922,485116,296953,93054,7822,66,4.65E-05,3
Singapore,SGP,2005,473.3067,Singapore,4344645,41023,217749,757313,1358481,3283251,3587122,3401452,41174,176726,255164,284400,309057,618473,782619,834579,586220,261451,139231,46984,8508,210,0.00010894,1
Slovakia,SVK,2005,46.30309,Slovakia,5376251,53809,260726,907246,1764625,3838467,4468860,4228083,52440,206917,287914,358606,411279,914475,779774,786010,709491,432073,307182,115425,13151,145,8.61E-06,5
Slovenia,SVN,2005,30.322699,Slovenia,2004780,18852,90971,287059,558147,1412325,1717642,1643285,18284,72119,92828,103260,126881,300188,297909,310071,274712,197848,150227,52200,7606,79,1.51E-05,5
South Africa,ZAF,2005,298.2188,South Africa,49017156,1011185,4669264,15061498,26183084,31776296,33954750,30357488,952474,3658079,4838678,5553556,5950262,8945053,7313572,4985024,3440445,1926065,993203,355461,45667,904,6.08E-06,2
South Korea,KOR,2005,1257.2378,South Korea,47889576,448598,2524674,9226917,16248308,34325476,38660790,36782544,472644,2076076,3238790,3463453,3165707,7668396,8416842,8116356,5061178,3582083,1989978,587566,72686,1869,2.63E-05,0
Spain,ESP,2005,914.42194,Spain,43685372,461088,2218549,6320838,11587426,30084832,37359348,36007504,455067,1757461,2009578,2092711,2320151,6705229,7429017,6449166,5046761,3995776,3527669,1620783,264797,5185,2.09E-05,0
Sri Lanka,LKA,2005,51.173447,Sri Lanka,19673866,359362,1760457,5100108,8531512,13155534,14573030,13583516,354480,1401095,1646380,1693271,1655067,3468433,2925475,2548697,1896246,1163404,645586,239127,30995,728,2.60E-06,2
Sweden,SWE,2005,203.84422,Sweden,9051739,101499,491179,1574712,2692726,5916502,7475798,7113135,101025,389680,476570,606963,586140,1080059,1263924,1212400,1217704,971601,660834,411107,72029,1229,2.25E-05,0
Switzerland,CHE,2005,148.30247,Switzerland,7428437,72717,365263,1199597,2078981,5054313,6227907,5963068,72391,292546,399297,435037,437234,907688,1139190,1183266,972508,739981,525573,271287,51180,933,2.00E-05,0
Taiwan,TWN,2005,559.4335,Taiwan,22796312,225803,1226964,4356958,7926902,16320512,18438262,17485756,233621,1001161,1524491,1605503,1631345,3965891,3689152,3690147,2547187,1489865,1002655,375879,46141,1091,2.45E-05,0
Thailand,THA,2005,543.0306,Thailand,65821360,827105,4196117,14051881,24611004,46804100,51762280,48671700,825247,3369012,4779118,5076646,5183138,10358181,10793613,10946341,7268935,4187406,2262222,648655,113790,7200,8.25E-06,5
Trinidad and Tobago,TTO,2005,20.109636,Trinidad and Tobago,1369078,19898,98229,302966,579336,987047,1066074,989803,19721,78331,96521,108216,133029,265622,201465,203729,141548,70729,36030,12348,1574,38,1.47E-05,5
Turkey,TUR,2005,368.01846,Turkey,68704710,1265021,6410290,19764448,32672516,44930732,48938692,45014070,1244255,5145269,6783904,6570255,6528547,12435744,10656698,7966183,5473647,3379783,1853985,577990,66113,1575,5.36E-06,2
Turkmenistan,TKM,2005,60.129086,Turkmenistan,4885780,103768,500447,1608603,2658754,3065274,3277170,2923215,100304,396679,525669,582487,577985,865429,675134,571435,299242,162215,101324,22790,1616,7,1.23E-05,5
Ukraine,UKR,2005,170.2302,Ukraine,46912616,423238,1985471,6877100,14288576,32510684,40033972,37945500,413543,1562233,2117728,2773901,3636483,7205061,6435792,7160104,5956362,5046930,3375401,1092949,124889,1544,3.63E-06,2
United Arab Emirates,ARE,2005,292.91925,United Arab Emirates,4280995,61074,292199,813559,1611768,3434331,3467429,3318447,58792,231125,272319,249041,280504,1224367,1148737,556093,197450,41651,13253,4790,584,7,6.84E-05,6
United Kingdom,GBR,2005,1002.56555,United Kingdom,60383740,713950,3440833,10914818,18756196,39905770,49460284,47087348,701122,2726883,3602521,3871464,3929707,7749688,8843879,8660420,7595125,5827072,4271090,2188694,394610,8636,1.66E-05,0
United States,USA,2005,11214.078,United States,296842660,4061003,20107680,61182016,103681810,198970420,235620380,222639550,4017136,16046676,19641488,21432848,21534920,40774916,41353670,45196736,37212956,23345934,16515330,8215511,1470417,40265,3.78E-05,4
Uzbekistan,UZB,2005,63.850956,Uzbekistan,26573428,529747,2601585,8638111,14358549,16633262,17935272,16062329,516956.97,2071838,2826070,3210456,3090141,4859299,3649223,2936885,1610665,995092,653806,131762,8400,44,2.40E-06,2
Venezuela,VEN,2005,374.20798,Venezuela,26668790,585504,2890913,8473852,13601542,16820472,18194860,16563939,580662,2305409,2814861,2768078,2679017,4686523,3796786,3023378,1968517,1180512,647552,200456,12119,78,1.40E-05,5
Vietnam,VNM,2005,151.39883,Vietnam,83142100,1436024,7095286,22758324,39380230,55058796,60381120,55222484,1432945,5659262,7106903,8556134,8516735,15600101,12350213,10326976,6427257,3490770,2557744,976515,134811,2654,1.82E-06,2
Algeria,DZA,2006,139.84572,Algeria,33435082,696782,3176888,9573292,17065016,22287050,23861564,21640924,661471,2480106,2944187,3452217,3740435,7048499,5121882,3489805,2212478,1264352,759338,207920,16855,226,4.18E-06,2
Argentina,ARG,2006,281.325,Argentina,39476856,707919,3494478,10549193,17193452,24926188,28925404,26865870,701424,2786559,3502494,3552221,3392302,6444704,5309956,4448313,3803062,2774813,1829162,798091,125000,2260,7.13E-06,2
Australia,AUS,2006,493.64178,Australia,20467032,268657,1300320,4007758,6852997,13796230,16457169,15618757,260338.98,1031663,1323820,1383618,1396478,2835438,2984473,2994564,2598004,1762806,1173180,610933,101293,2104,2.41E-05,6
Austria,AUT,2006,164.50961,Austria,8267771,77731,398835,1303957,2322031,5586664,6963064,6666633,80082,321104,423176,481946,493350,1046386,1248863,1341720,1019024,869611,580879,315666,47565,750,1.99E-05,6
Azerbaijan,AZE,2006,57.112576,Azerbaijan,8763353,153451,689484,2241127,4045669,5966430,6522186,5951276,143051,536033,687470,864173,947510,1580801,1314677,1313784,664619,368294,272655,55211,4635,40,6.52E-06,2
Bangladesh,BGD,2006,46.740562,Bangladesh,142628830,3419376,17265212,49723388,79020110,86933410,92905250,83634810,3440515,13845837,16755923,15702252,15240474,26361332,19697104,13641053,8962668,5373405,2769156,797427,62628,194,3.28E-07,2
Belarus,BLR,2006,100.94521,Belarus,9874700,95871,465664,1484012,3058966,6897573,8390373,7955073,93722,369793,463040,555308,761095,1562578,1362228,1546384,1299578,846287,752412,237637,22174,315,1.02E-05,0
Belgium,BEL,2006,388.74277,Belgium,10582970,121300,589960,1804535,3085668,6967244,8777178,8391676,119447,468660,593111,621464,638059,1320520,1470504,1609817,1396956,1011444,855348,412763,61767,1257,3.67E-05,4
Brazil,BRA,2006,1126.7306,Brazil,188820690,3149597,16003825,50322184,85831670,126631540,138497650,128003270,3173416,12854228,17099964,17218396,17621818,34523136,28391200,23975850,16522195,10081935,5593516,1673391,114608,853,5.97E-06,2
Bulgaria,BGR,2006,60.025085,Bulgaria,7766040,74371,354817,1053666,2094142,5333698,6712085,6416552,72006,280446,324854,373995,506766,1096251,1102573,1057549,1109044,861890,683047,267496,27469,289,7.73E-06,2
Canada,CAN,2006,1256.4135,Canada,32531864,347234,1729269,5653722,10111436,22597268,26874000,25537616,345456,1382035,1828912,2095541,2207844,4436284,4501563,5377397,4460655,2850861,1923924,950775,164696,4143,3.86E-05,4
Chile,CHL,2006,160.48915,Chile,16334573,228681,1164177,3825909,6579648,11028046,12508552,11642744,228147,935496,1261948,1399784,1425181,2605089,2494463,2248617,1677754,1044700,710861,274710,27177,112,9.83E-06,0
China,CHN,2006,4116.769,China,1313086600,16512055,80320560,256623140,490485400,951458500,1056455040,981807360,16212596,63808504,82199200,94103380,124782720,204626030,239191550,190658290,148266340,80780800,50621548,16185530,1342217,8424,3.14E-06,2
Colombia,COL,2006,149.5254,Colombia,42772910,792296,4067769,12649819,20732316,27895364,30122870,27580492,803420,3275473,4249955,4332095,4182757,7443843,6240236,5419387,3485257,1948263,1039081,337893,26154,222,3.50E-06,2
Croatia,HRV,2006,54.472054,Croatia,4417562,43531,211868,698593,1270089,2947740,3718703,3560280,43142,168337,237465,249260,270063,610232,588034,642232,614606,464630,386272,127376,15258,266,1.23E-05,0
Cyprus,CYP,2006,34.056618,Cyprus,1055445,12365,61102,203529,388674,741703,851871,798842,12254,48737,65545,76882,90181,187613,158373,144449,115148,82252,50085,20657,3113,45,3.23E-05,4
Czechia,CZE,2006,117.510414,Czechia,10304822,103954,484445,1488649,2852597,7347511,8815840,8423703,99816,380491,449066,555138,660538,1553122,1592845,1365452,1553923,1063216,699312,296469,30963,333,1.14E-05,0
Denmark,DNK,2006,106.54708,Denmark,5457863,65098,326113,1015626,1634138,3611828,4441525,4244673,65112,261015,338495,351018,319964,631154,781927,792786,733882,603815,354230,188982,34785,712,1.95E-05,6
Ecuador,ECU,2006,100.837296,Ecuador,14009064,314591,1560153,4603373,7343087,8649147,9405321,8536874,312495,1245562,1543472,1499748,1429509,2465157,1921981,1463358,1023633,611531,340543,129782,19827,370,7.20E-06,2
Egypt,EGY,2006,337.3307,Egypt,80629660,2019928,9719556,27502100,44250970,49688624,53127244,47898190,1970224,7699628,9050562,8731981,8707406,14959574,10814439,8147966,5426079,2857507,1713334,466070,34869,322,4.18E-06,2
Estonia,EST,2006,17.505255,Estonia,1346711,14591,67896,201464,400170,915393,1145152,1086195,14136,53305,61491,72077,100058,193189,186995,190185,179028,141355,109020,40001,5321,95,1.30E-05,0
Finland,FIN,2006,122.85048,Finland,5266249,58265,286540,904025,1560124,3507249,4361836,4164181,57906,228275,291315,326170,323127,664054,654387,754038,806129,556282,387445,188193,28181,388,2.33E-05,6
France,FRA,2006,1106.1073,France,60919150,754745,3733840,11141193,18904408,39671376,49765316,47415280,742357,2979095,3726173,3681180,3921357,7649557,8407659,8531526,8272589,5402953,4678956,2445756,454964,12644,1.82E-05,6
Germany,DEU,2006,1457.237,Germany,81177816,673570,3520814,11492518,20937248,53806536,69675990,66883212,692806,2847244,3936553,4035151,4691671,9545123,11162614,13469284,10501467,9814194,6854853,3111985,524805,9300,1.80E-05,6
Greece,GRC,2006,260.48984,Greece,11106097,108081,531392,1590554,2935650,7455074,9513772,9172147,106121,423311,531110,528052,598342,1606666,1733734,1590318,1369854,1132133,1024531,396302,61892,1771,2.35E-05,6
Hong Kong,HKG,2006,178.45949,Hong Kong,6960600,45764,229168,970645,1904052,5111397,5988664,5717477,41814,183404,317778,423699,449112,1000923,1137358,1323777,951666,495859,420505,178237,31227,1291,2.56E-05,6
Hungary,HUN,2006,91.52184,Hungary,10057063,97684,480275,1541576,2835906,6932036,8515054,8141624,95885,382591,487280,574021,625433,1471893,1515226,1281521,1472013,1050059,756839,307631,34439,433,9.10E-06,0
Iceland,ISL,2006,10.258592,Iceland,304086,4378,21278,65463,109747,203285,238586,224528,4330,16900,21399,22786,22687,44093,43085,44473,36072,22248,16520,8134,1274,37,3.37E-05,4
India,IND,2006,1519.2104,India,1172373800,26281328,131429420,383376600,610169000,732180100,788984060,717576450,26162966,105148100,128322220,123624960,117855510,205467100,163743600,127855624,88826950,50972184,26161732,7365310,736073,13075,1.30E-06,2
Indonesia,IDN,2006,691.3363,Indonesia,231797420,4648239,22556644,66485456,109293950,152230960,165311400,152543760,4539938,17908404,22260224,21668584,21227514,42323096,36706772,28082250,17365772,11939836,6178887,1394436,92820,588,2.98E-06,2
Iran,IRN,2006,991.9344,Iran,71275770,1135344,5422102,17624050,35352788,50340770,53651548,48512016,1101134,4286758,5251931,6950018,8743331,16229799,10284197,8006007,5445264,2941027,1562727,414421,24775,167,1.39E-05,0
Iraq,IRQ,2006,271.7063,Iraq,28905614,940615,4498856,12221789,17931324,15792552,16683770,14769175,919806,3558241,4082085,3640848,3072475,4936049,3725790,2139985,1436886,842574,409214,112107,8690,55,9.40E-06,0
Ireland,IRL,2006,113.51547,Ireland,4234809,62593,302419,862440,1502630,2915366,3372139,3201424,60421,239826,287834,272187,287946,730407,672025,569281,469718,323323,206886,98516,14037,230,2.68E-05,6
Israel,ISR,2006,132.76782,Israel,6832082,137650,681418,1880616,2997232,4263627,4950724,4612123,137142,543768,631147,568051,558557,1094855,937492,760658,694986,410460,307366,158661,27689,742,1.94E-05,6
Italy,ITA,2006,1038.1772,Italy,58429904,554014,2754674,8247036,14195889,38506664,50173880,48433570,555976,2200660,2709119,2783243,2881389,6737105,9239226,8826162,7596384,6546392,5301930,2559601,485690,8989,1.78E-05,6
Japan,JPN,2006,2888.4197,Japan,127902170,1088284,5531910,17330458,30822988,83383176,110525840,106831420,1080794,4443626,5849821,5948727,6346158,15315749,18761888,15705953,18906724,16006021,12429259,5785084,1269007,45868,2.26E-05,6
Kazakhstan,KAZ,2006,127.97231,Kazakhstan,15822751,297563,1313085,3849400,6935946,10776387,11973254,11022331,277421,1015522,1160709,1375606,1611374,2744259,2289508,2205312,1551008,910110,518017,132721,10945,97,8.09E-06,2
Kuwait,KWT,2006,203.20848,Kuwait,2363417,48414,209587,577923,976263,1745547,1785491,1684586,42499,161173,193117,175219,174024,519438,543343,333426,144167,48230,17363,5033,467,3,8.60E-05,3
Latvia,LVA,2006,18.92615,Latvia,2203917,20843,101661,318038,650136,1494821,1885713,1791059,20224,80818,96360,120017,164990,312968,301674,318093,278875,248297,183881,67527,9408,166,8.59E-06,0
Lithuania,LTU,2006,33.058205,Lithuania,3322937,29721,146924,538399,1030605,2230493,2784125,2630841,29362,117203,172847,218628,258148,445975,461799,501467,391889,342662,271073,96866,14246,413,9.95E-06,0
Lower-middle-income countries,,2006,4648.4517,Lower-middle-income countries,2727931100,66650930,323753200,922220200,1461627900,1676529000,1805687600,1635350900,65242364,257102290,304905700,293561300,280439600,486159330,372138800,284136060,191060850,113545210,59962548,16701832,1543361,23311,1.70E-06,2
Luxembourg,LUX,2006,35.52233,Luxembourg,472402,5433,27839,86896,142615,319381,385474,368614,5512,22406,29519,29538,27625,59628,75368,76498,58711,40666,31763,13136,2079,32,7.52E-05,3
Malaysia,MYS,2006,350.31897,Malaysia,26509416,519964,2627735,8132989,13417133,17137056,18375978,16735797,521399,2107771,2726505,2778749,2718855,4763320,3768762,3156924,2088521,1131374,538649,187118,22454,449,1.32E-05,0
Mexico,MEX,2006,1184.8331,Mexico,106886790,2264401,11376988,33819984,54121950,66933500,73052504,66565336,2268607,9112587,11238300,11204694,10608609,18591920,15684541,11792966,7649809,4712143,2708983,1078509,225026,14304,1.11E-05,0
Morocco,MAR,2006,110.873024,Morocco,30833024,636507,3107799,9417083,15757297,19943268,21415870,19453964,625592,2471292,3095169,3214115,3257008,5795247,4425796,3498547,2236994,1311042,719918,163831,7487,70,3.60E-06,2
Netherlands,NLD,2006,567.0726,Netherlands,16325679,185087,970940,2959629,4918640,11017689,13364696,12765981,189411,785853,1002993,985696,993338,1956315,2395506,2536646,2254637,1582220,1053975,514022,78037,1354,3.47E-05,4
New Zealand,NZL,2006,85.78982,New Zealand,4179986,59515,287390,889551,1491969,2781152,3290048,3098297,57807,227875,291990,310171,312397,550337,598197,626845,505013,343579,223861,111664,18155,387,2.05E-05,6
North Macedonia,MKD,2006,11.2406025,North Macedonia,2081081,22668,124718,419218,752558,1437734,1661841,1564615,23023,102050,139065,155435,164273,329978,296826,296961,257935,172597,110424,30521,2326,22,5.40E-06,2
Norway,NOR,2006,120.29048,Norway,4661081,57861,288628,906477,1486976,3070568,3754077,3566073,57740,230767,304189,313660,303734,565124,689787,658492,602875,429629,287952,185760,30724,527,2.58E-05,6
Oman,OMN,2006,49.878475,Oman,2560652,56940,268284,807357,1408860,1688832,1753286,1579301,55119,211344,263153,275920,293556,582830,404299,247841,125298,61380,27662,9438,982,9,1.95E-05,6
Pakistan,PAK,2006,208.9376,Pakistan,178069980,5428400,26044248,72472640,109193360,99222670,105597280,93158030,5247323,20615848,24055052,22373336,20071276,29862218,20245980,15491807,9932603,6289093,2938406,725892,40009,63,1.17E-06,2
